City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,2022-07-18 03:03:29,-34.4187,19.2345,47.8,82,5,6.46,clear sky
1,Atuona,PF,2022-07-18 03:03:30,-9.8,-139.0333,78.03,75,30,20.62,scattered clouds
2,Portsmouth,GB,2022-07-18 03:01:40,50.799,-1.0913,68.97,78,99,4.0,overcast clouds
3,Los Llanos De Aridane,ES,2022-07-18 03:03:31,28.6585,-17.9182,67.75,94,40,13.8,scattered clouds
4,Arraial Do Cabo,BR,2022-07-18 03:03:31,-22.9661,-42.0278,71.01,92,29,9.44,scattered clouds
5,Vestmanna,FO,2022-07-18 03:03:32,62.1564,-7.1664,49.12,93,100,12.66,overcast clouds
6,Charters Towers,AU,2022-07-18 03:00:38,-20.1,146.2667,73.29,44,2,9.01,clear sky
7,Airai,TL,2022-07-18 03:03:32,-8.9266,125.4092,69.17,50,13,3.71,few clouds
8,Tiksi,RU,2022-07-18 03:03:33,71.6872,128.8694,41.38,65,100,6.26,overcast clouds
9,Sao Filipe,CV,2022-07-18 03:03:33,14.8961,-24.4956,73.51,82,68,12.68,broken clouds
10,Avarua,CK,2022-07-18 03:03:34,-21.2078,-159.775,73.45,83,100,11.5,light rain
11,Ploemeur,FR,2022-07-18 03:03:34,47.7333,-3.4333,72.95,56,0,9.22,clear sky
12,Cidreira,BR,2022-07-18 03:03:35,-30.1811,-50.2056,50.02,78,0,3.36,clear sky
13,Namibe,AO,2022-07-18 03:03:35,-15.1961,12.1522,64.83,77,5,5.3,clear sky
14,Alyangula,AU,2022-07-18 03:03:36,-13.8483,136.4192,77.92,62,91,8.43,overcast clouds
15,Gotsu,JP,2022-07-18 03:03:36,35.0,132.2167,79.81,73,100,4.79,moderate rain
16,Ushuaia,AR,2022-07-18 02:59:06,-54.8,-68.3,37.06,81,75,18.41,broken clouds
17,Bambous Virieux,MU,2022-07-18 03:03:37,-20.3428,57.7575,68.22,72,58,18.41,light rain
18,Mahibadhoo,MV,2022-07-18 03:03:37,3.7833,72.9667,79.79,78,100,11.61,moderate rain
19,Bethel,US,2022-07-18 03:03:38,41.3712,-73.414,74.53,87,0,4.61,clear sky
20,Beira,MZ,2022-07-18 03:03:38,-19.8436,34.8389,64.85,89,24,10.18,few clouds
21,Punta Arenas,CL,2022-07-18 03:00:16,-53.15,-70.9167,33.12,80,8,14.2,clear sky
22,Georgetown,MY,2022-07-18 03:03:39,5.4112,100.3354,89.53,70,20,1.14,haze
23,Faya,SA,2022-07-18 03:03:39,18.3851,42.4509,61.32,28,48,6.24,scattered clouds
24,Uitenhage,ZA,2022-07-18 03:03:40,-33.7576,25.3971,60.64,49,2,3.67,clear sky
25,Cape Town,ZA,2022-07-18 03:03:40,-33.9258,18.4232,58.12,90,7,3.0,clear sky
26,Chicama,PE,2022-07-18 03:03:41,-7.8447,-79.1469,59.54,84,38,6.06,scattered clouds
27,George Town,MY,2022-07-18 03:02:34,5.4112,100.3354,89.53,70,20,1.14,haze
28,Ahipara,NZ,2022-07-18 03:03:41,-35.1667,173.1667,58.44,74,100,9.33,overcast clouds
29,Saskylakh,RU,2022-07-18 03:03:42,71.9167,114.0833,54.34,39,100,10.96,overcast clouds
30,Bredasdorp,ZA,2022-07-18 03:03:42,-34.5322,20.0403,51.22,88,2,3.71,clear sky
31,Talnakh,RU,2022-07-18 03:03:43,69.4865,88.3972,60.21,53,100,0.87,overcast clouds
32,Hobart,AU,2022-07-18 03:03:43,-42.8794,147.3294,44.26,71,75,18.41,broken clouds
33,Sitka,US,2022-07-18 03:03:44,57.0531,-135.33,57.09,88,100,5.75,mist
34,Bairiki,KI,2022-07-18 03:03:44,1.3292,172.9752,86.0,74,20,9.22,few clouds
35,Hithadhoo,MV,2022-07-18 03:03:45,-0.6,73.0833,82.62,71,100,16.64,overcast clouds
36,Riyadh,SA,2022-07-18 03:03:45,24.6877,46.7219,82.54,14,1,8.21,clear sky
37,Kavieng,PG,2022-07-18 03:03:46,-2.5744,150.7967,84.34,75,100,15.19,light rain
