City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Laguna,US,2022-07-15 19:48:12,38.421,-121.4238,98.01,42,0,8.05
1,Albany,US,2022-07-15 19:48:12,42.6001,-73.9662,86.58,35,7,1.01
2,Bengkulu,ID,2022-07-15 19:46:44,-3.8004,102.2655,75.6,89,100,3.78
3,Rikitea,PF,2022-07-15 19:46:56,-23.1203,-134.9692,68.11,77,100,7.74
4,Sitka,US,2022-07-15 19:48:13,57.0531,-135.33,57.09,82,100,9.22
5,Buala,SB,2022-07-15 19:48:14,-8.145,159.5921,78.31,83,76,4.85
6,Kjollefjord,NO,2022-07-15 19:48:14,70.9457,27.3465,60.62,77,0,9.22
7,Nola,IT,2022-07-15 19:48:15,40.922,14.5329,81.32,81,0,2.62
8,Eydhafushi,MV,2022-07-15 19:48:16,5.1033,73.0708,82.31,78,68,9.51
9,Dolores,AR,2022-07-15 19:48:17,-36.3132,-57.6792,54.66,87,100,11.39
10,Najran,SA,2022-07-15 19:48:17,17.4924,44.1277,86.65,21,100,4.79
11,Benoy,TD,2022-07-15 19:48:18,8.9833,16.3199,74.5,87,98,3.22
12,Berehove,UA,2022-07-15 19:48:18,48.2056,22.6442,70.65,47,81,8.14
13,Vao,NC,2022-07-15 19:48:19,-22.6667,167.4833,68.99,58,3,18.52
14,Port Macquarie,AU,2022-07-15 19:48:03,-31.4333,152.9167,39.88,79,85,4.85
15,Ushuaia,AR,2022-07-15 19:47:44,-54.8,-68.3,35.26,60,20,6.91
16,Tura,IN,2022-07-15 19:48:20,25.5198,90.2201,75.67,94,7,4.21
17,Clyde River,CA,2022-07-15 19:48:21,70.4692,-68.5914,59.23,33,0,21.85
18,Atambua,ID,2022-07-15 19:48:21,-9.1061,124.8925,66.42,84,100,5.82
19,Tiksi,RU,2022-07-15 19:46:42,71.6872,128.8694,39.54,90,99,7.58
20,Vaini,TO,2022-07-15 19:48:22,-21.2,-175.2,75.36,94,20,5.75
21,Kahului,US,2022-07-15 19:47:58,20.8947,-156.47,85.96,64,40,19.57
22,Caravelas,BR,2022-07-15 19:48:23,-17.7125,-39.2481,73.2,73,5,6.08
23,Brokopondo,SR,2022-07-15 19:48:23,4.75,-55.1667,83.39,70,99,8.48
24,Moindou,NC,2022-07-15 19:48:24,-21.6924,165.677,67.28,60,48,15.19
25,Cape Town,ZA,2022-07-15 19:46:51,-33.9258,18.4232,62.38,82,0,4.0
26,Valdez,EC,2022-07-15 19:48:25,1.2492,-78.9831,78.15,80,100,11.7
27,Bluff,NZ,2022-07-15 19:44:07,-46.6,168.3333,35.8,65,87,14.99
28,Mataura,NZ,2022-07-15 19:45:29,-46.1927,168.8643,35.47,97,94,3.71
29,Kampot,KH,2022-07-15 19:48:26,10.6167,104.1833,78.22,89,97,5.46
30,Thompson,CA,2022-07-15 19:46:51,55.7435,-97.8558,82.56,32,20,19.57
31,Qaanaaq,GL,2022-07-15 19:48:26,77.484,-69.3632,49.44,65,90,8.77
32,Ebeltoft,DK,2022-07-15 19:48:27,56.1944,10.6821,60.82,63,75,10.36
33,Shar,KZ,2022-07-15 19:48:27,49.5886,81.0453,70.36,42,7,5.48
34,Richards Bay,ZA,2022-07-15 19:48:28,-28.783,32.0377,61.59,84,43,1.59
35,Berdigestyakh,RU,2022-07-15 19:48:29,62.0989,126.6992,64.09,92,100,3.85
36,Korenovsk,RU,2022-07-15 19:48:30,45.4686,39.4519,71.76,57,3,6.13
37,Ipixuna,BR,2022-07-15 19:48:31,-1.7625,-48.8043,80.26,82,100,2.33
38,Phalodi,IN,2022-07-15 19:48:31,27.1333,72.3667,88.74,62,86,11.77
39,Iqaluit,CA,2022-07-15 19:45:35,63.7506,-68.5145,69.53,43,75,25.32
40,Barrow,US,2022-07-15 19:48:32,71.2906,-156.7887,37.42,75,100,10.36
41,Port Elizabeth,ZA,2022-07-15 19:46:54,-33.918,25.5701,59.29,88,0,8.05
42,West Bay,KY,2022-07-15 19:48:32,19.3667,-81.4167,87.87,67,75,2.3
43,Cherskiy,RU,2022-07-15 19:48:33,68.75,161.3,54.59,39,76,4.23
44,Saskylakh,RU,2022-07-15 19:47:03,71.9167,114.0833,49.17,65,34,1.9
45,Tiznit,MA,2022-07-15 19:48:33,29.5833,-9.5,80.13,49,34,3.02
46,Hithadhoo,MV,2022-07-15 19:45:29,-0.6,73.0833,83.34,74,100,15.7
47,Hilo,US,2022-07-15 19:46:10,19.7297,-155.09,84.25,71,100,4.61
48,Hobart,AU,2022-07-15 19:49:34,-42.8794,147.3294,45.27,87,40,9.22
49,Mitsamiouli,KM,2022-07-15 19:49:35,-11.3847,43.2844,77.05,68,9,12.33
50,Jamestown,US,2022-07-15 19:45:31,42.097,-79.2353,81.05,40,75,11.5
51,Pisco,PE,2022-07-15 19:49:35,-13.7,-76.2167,68.05,64,57,25.32
52,Nioro,GM,2022-07-15 19:49:36,13.35,-15.75,83.95,71,100,11.12
53,Punta Arenas,CL,2022-07-15 19:49:02,-53.15,-70.9167,33.82,93,20,10.36
54,Gushikawa,JP,2022-07-15 19:49:37,26.3544,127.8686,82.4,92,40,17.9
55,Santiago,CL,2022-07-15 19:46:42,-33.4569,-70.6483,51.28,71,75,13.8
56,Chicama,PE,2022-07-15 19:49:37,-7.8447,-79.1469,59.54,62,10,11.23
57,Mayumba,GA,2022-07-15 19:49:38,-3.432,10.6554,69.76,92,4,4.7
58,Upernavik,GL,2022-07-15 19:47:00,72.7868,-56.1549,48.58,61,0,6.98
59,Olovyannaya,RU,2022-07-15 19:49:38,50.95,115.5667,61.23,92,100,1.57
60,Atuona,PF,2022-07-15 19:49:39,-9.8,-139.0333,76.66,74,1,12.62
61,Los Llanos De Aridane,ES,2022-07-15 19:49:39,28.6585,-17.9182,69.55,86,20,13.8
62,Edd,ER,2022-07-15 19:49:40,13.9297,41.6925,91.8,62,99,0.54
63,Viedma,AR,2022-07-15 19:49:40,-40.8135,-62.9967,45.66,84,100,16.22
64,Castro,BR,2022-07-15 19:49:41,-24.7911,-50.0119,67.32,61,98,7.16
65,Chokurdakh,RU,2022-07-15 19:48:19,70.6333,147.9167,52.25,72,37,16.87
66,Hermanus,ZA,2022-07-15 19:45:23,-34.4187,19.2345,55.8,85,100,9.33
67,Grand-Lahou,CI,2022-07-15 19:49:42,5.1367,-5.0242,75.22,89,59,10.51
68,Saint George,US,2022-07-15 19:49:42,37.1041,-113.5841,101.79,25,0,4.0
69,Kapaa,US,2022-07-15 19:49:43,22.0752,-159.319,80.92,76,40,13.8
70,Ritterhude,DE,2022-07-15 19:49:43,53.1811,8.7216,61.83,91,0,4.61
71,Champerico,GT,2022-07-15 19:49:44,14.3,-91.9167,90.14,79,87,7.74
72,Tromso,NO,2022-07-15 19:49:44,69.6496,18.957,51.82,76,75,17.27
73,Taybad,IR,2022-07-15 19:49:45,34.74,60.7756,81.93,11,0,18.77
74,Varzob,TJ,2022-07-15 19:49:45,38.7737,68.8178,73.13,34,0,6.08
75,Bindura,ZW,2022-07-15 19:49:46,-17.3019,31.3306,57.74,50,76,3.51
76,Nurota,UZ,2022-07-15 19:49:46,40.5614,65.6886,78.4,14,0,3.65
77,Busselton,AU,2022-07-15 19:45:31,-33.65,115.3333,58.84,63,100,1.63
78,Olinda,BR,2022-07-15 19:48:26,-8.0089,-34.8553,76.73,83,75,14.97
79,Svetlogorsk,BY,2022-07-15 19:49:47,52.6333,29.7333,54.14,91,0,7.23
80,Yellowknife,CA,2022-07-15 19:49:47,62.456,-114.3525,57.72,72,100,3.44
81,Balikpapan,ID,2022-07-15 19:49:48,-1.2675,116.8289,77.99,94,20,3.44
82,Port Alfred,ZA,2022-07-15 19:49:48,-33.5906,26.891,57.18,91,12,3.0
83,New Norfolk,AU,2022-07-15 19:49:49,-42.7826,147.0587,44.92,83,100,1.99
84,Ketchikan,US,2022-07-15 19:45:00,55.3422,-131.6461,55.87,94,100,4.61
85,Lebu,CL,2022-07-15 19:46:57,-37.6167,-73.65,47.88,72,47,14.74
